Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Tue,18:32:53,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,18:32:53,rwanda,algeria,41.74.174.49,41.74.174.49,2,2
Tue,18:32:53,rwanda,algeria,197.243.126.165,197.243.126.165,4,3
Tue,18:32:53,rwanda,algeria,192.168.1.253,192.168.1.253,4,4
Tue,18:32:53,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Tue,18:32:53,rwanda,algeria,197.243.126.29,197.243.126.29,4,6
Tue,18:32:53,rwanda,algeria,41.223.224.210,41.223.224.210,4,7
Tue,18:32:53,rwanda,algeria,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,179,8
Tue,18:32:53,rwanda,algeria,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,40,9
Tue,18:32:53,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,181,10
Tue,18:32:53,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,182,11
Tue,18:32:53,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,178,12
Tue,18:32:53,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,250,13
Tue,18:32:53,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,251,14
Tue,18:32:53,rwanda,algeria,195.219.83.30,195.219.83.30,251,15
Tue,18:32:53,rwanda,algeria,172.16.44.138,172.16.44.138,250,16
Tue,18:32:53,rwanda,algeria,172.31.2.83,172.31.2.83,222,17
Tue,18:32:53,rwanda,algeria,10.10.13.99,10.10.13.99,224,18
Tue,18:32:53,rwanda,algeria,*,*,*,19
Tue,18:32:53,rwanda,algeria,*,*,*,20
Tue,18:32:53,rwanda,algeria,*,*,*,21
Tue,18:32:53,rwanda,algeria,*,*,*,22
Tue,18:32:53,rwanda,algeria,*,*,*,23
Tue,18:32:53,rwanda,algeria,*,*,*,24
Tue,18:32:53,rwanda,algeria,*,*,*,25
Tue,18:32:53,rwanda,algeria,*,*,*,26
Tue,18:32:53,rwanda,algeria,*,*,*,27
Tue,18:32:53,rwanda,algeria,*,*,*,28
Tue,18:32:53,rwanda,algeria,*,*,*,29
Tue,18:32:53,rwanda,algeria,*,*,*,30
Tue,18:45:15,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Tue,18:45:15,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Tue,18:45:15,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Tue,18:45:15,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Tue,18:45:15,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Tue,18:45:15,rwanda,algeria,197.243.126.29,197.243.126.29,7,6
Tue,18:45:15,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Tue,18:45:15,rwanda,algeria,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,182,8
Tue,18:45:15,rwanda,algeria,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,42,9
Tue,18:45:15,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,181,10
Tue,18:45:15,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,181,11
Tue,18:45:15,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,178,12
Tue,18:45:15,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,288,13
Tue,18:45:15,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,178,14
Tue,18:45:15,rwanda,algeria,195.219.83.30,195.219.83.30,179,15
Tue,18:45:15,rwanda,algeria,172.16.44.138,172.16.44.138,308,16
Tue,18:45:15,rwanda,algeria,172.31.2.83,172.31.2.83,308,17
Tue,18:45:15,rwanda,algeria,10.10.13.99,10.10.13.99,276,18
Tue,18:45:15,rwanda,algeria,*,*,*,19
Tue,18:45:15,rwanda,algeria,*,*,*,20
Tue,18:45:15,rwanda,algeria,*,*,*,21
Tue,18:45:15,rwanda,algeria,*,*,*,22
Tue,18:45:15,rwanda,algeria,*,*,*,23
Tue,18:45:15,rwanda,algeria,*,*,*,24
Tue,18:45:15,rwanda,algeria,*,*,*,25
Tue,18:45:15,rwanda,algeria,*,*,*,26
Tue,18:45:15,rwanda,algeria,*,*,*,27
Tue,18:45:15,rwanda,algeria,*,*,*,28
Tue,18:45:15,rwanda,algeria,*,*,*,29
Tue,18:45:15,rwanda,algeria,*,*,*,30
Tue,18:55:41,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Tue,18:55:41,rwanda,algeria,41.74.174.49,41.74.174.49,5,2
Tue,18:55:41,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Tue,18:55:41,rwanda,algeria,192.168.1.253,192.168.1.253,6,4
Tue,18:55:41,rwanda,algeria,192.168.1.230,192.168.1.230,8,5
Tue,18:55:41,rwanda,algeria,197.243.126.29,197.243.126.29,8,6
Tue,18:55:41,rwanda,algeria,41.223.224.210,41.223.224.210,7,7
Tue,18:55:41,rwanda,algeria,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,199,8
Tue,18:55:41,rwanda,algeria,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,44,9
Tue,18:55:41,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,199,10
Tue,18:55:41,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,199,11
Tue,18:55:41,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,193,12
Tue,18:55:41,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,180,13
Tue,18:55:41,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,180,14
Tue,18:55:41,rwanda,algeria,195.219.83.30,195.219.83.30,180,15
Tue,18:55:41,rwanda,algeria,172.16.44.138,172.16.44.138,224,16
Tue,18:55:41,rwanda,algeria,172.31.2.83,172.31.2.83,225,17
Tue,18:55:41,rwanda,algeria,10.10.13.99,10.10.13.99,222,18
Tue,18:55:41,rwanda,algeria,*,*,*,19
Tue,18:55:41,rwanda,algeria,*,*,*,20
Tue,18:55:41,rwanda,algeria,*,*,*,21
Tue,18:55:41,rwanda,algeria,*,*,*,22
Tue,18:55:41,rwanda,algeria,*,*,*,23
Tue,18:55:41,rwanda,algeria,*,*,*,24
Tue,18:55:41,rwanda,algeria,*,*,*,25
Tue,18:55:41,rwanda,algeria,*,*,*,26
Tue,18:55:41,rwanda,algeria,*,*,*,27
Tue,18:55:41,rwanda,algeria,*,*,*,28
Tue,18:55:41,rwanda,algeria,*,*,*,29
Tue,18:55:41,rwanda,algeria,*,*,*,30
Tue,19:06:49,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Tue,19:06:49,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,19:06:49,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Tue,19:06:49,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
Tue,19:06:49,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Tue,19:06:49,rwanda,algeria,197.243.126.29,197.243.126.29,11,6
Tue,19:06:49,rwanda,algeria,41.223.224.210,41.223.224.210,4,7
Tue,19:06:49,rwanda,algeria,pos0-1-3-1.ltz-p1-dar.liquidtelecom.net,197.155.94.87,180,8
Tue,19:06:49,rwanda,algeria,pos0-4-2-2-p1-nbi.liquidtelecom.net,197.155.94.48,41,9
Tue,19:06:49,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,181,10
Tue,19:06:49,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,182,11
Tue,19:06:49,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,179,12
Tue,19:06:49,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,176,13
Tue,19:06:49,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,177,14
Tue,19:06:49,rwanda,algeria,195.219.83.30,195.219.83.30,175,15
Tue,19:06:49,rwanda,algeria,172.16.44.138,172.16.44.138,220,16
Tue,19:06:49,rwanda,algeria,172.31.2.83,172.31.2.83,222,17
Tue,19:06:49,rwanda,algeria,10.10.13.99,10.10.13.99,236,18
Tue,19:06:49,rwanda,algeria,*,*,*,19
Tue,19:06:49,rwanda,algeria,*,*,*,20
Tue,19:06:49,rwanda,algeria,*,*,*,21
Tue,19:06:49,rwanda,algeria,*,*,*,22
Tue,19:06:49,rwanda,algeria,*,*,*,23
Tue,19:06:49,rwanda,algeria,*,*,*,24
Tue,19:06:49,rwanda,algeria,*,*,*,25
Tue,19:06:49,rwanda,algeria,*,*,*,26
Tue,19:06:49,rwanda,algeria,*,*,*,27
Tue,19:06:49,rwanda,algeria,*,*,*,28
Tue,19:06:49,rwanda,algeria,*,*,*,29
Tue,19:06:49,rwanda,algeria,*,*,*,30
Tue,19:17:09,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Tue,19:17:09,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Tue,19:17:09,rwanda,algeria,197.243.126.165,197.243.126.165,6,3
Tue,19:17:09,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Tue,19:17:09,rwanda,algeria,192.168.1.230,192.168.1.230,8,5
Tue,19:17:09,rwanda,algeria,197.243.126.29,197.243.126.29,8,6
Tue,19:17:09,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Tue,19:17:09,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,184,8
Tue,19:17:09,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,184,9
Tue,19:17:09,rwanda,algeria,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,29,10
Tue,19:17:09,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,162,11
Tue,19:17:09,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,193,12
Tue,19:17:09,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,193,13
Tue,19:17:09,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,193,14
Tue,19:17:09,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,193,15
Tue,19:17:09,rwanda,algeria,195.219.83.30,195.219.83.30,193,16
Tue,19:17:09,rwanda,algeria,172.16.44.138,172.16.44.138,212,17
Tue,19:17:09,rwanda,algeria,172.31.2.83,172.31.2.83,237,18
Tue,19:17:09,rwanda,algeria,10.10.13.99,10.10.13.99,237,19
Tue,19:17:09,rwanda,algeria,*,*,*,20
Tue,19:17:09,rwanda,algeria,*,*,*,21
Tue,19:17:09,rwanda,algeria,*,*,*,22
Tue,19:17:09,rwanda,algeria,*,*,*,23
Tue,19:17:09,rwanda,algeria,*,*,*,24
Tue,19:17:09,rwanda,algeria,*,*,*,25
Tue,19:17:09,rwanda,algeria,*,*,*,26
Tue,19:17:09,rwanda,algeria,*,*,*,27
Tue,19:17:09,rwanda,algeria,*,*,*,28
Tue,19:17:09,rwanda,algeria,*,*,*,29
Tue,19:17:09,rwanda,algeria,*,*,*,30
Tue,19:27:45,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,4,1
Tue,19:27:45,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,19:27:45,rwanda,algeria,197.243.126.165,197.243.126.165,6,3
Tue,19:27:45,rwanda,algeria,192.168.1.253,192.168.1.253,9,4
Tue,19:27:45,rwanda,algeria,192.168.1.230,192.168.1.230,9,5
Tue,19:27:45,rwanda,algeria,197.243.126.29,197.243.126.29,9,6
Tue,19:27:45,rwanda,algeria,41.223.224.210,41.223.224.210,4,7
Tue,19:27:45,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,166,8
Tue,19:27:45,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,165,9
Tue,19:27:45,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Tue,19:27:45,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,165,11
Tue,19:27:45,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,166,12
Tue,19:27:45,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,166,13
Tue,19:27:45,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,171,14
Tue,19:27:45,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,171,15
Tue,19:27:45,rwanda,algeria,195.219.83.30,195.219.83.30,176,16
Tue,19:27:45,rwanda,algeria,172.16.44.138,172.16.44.138,212,17
Tue,19:27:45,rwanda,algeria,172.31.2.83,172.31.2.83,218,18
Tue,19:27:45,rwanda,algeria,10.10.13.99,10.10.13.99,214,19
Tue,19:27:45,rwanda,algeria,*,*,*,20
Tue,19:27:45,rwanda,algeria,*,*,*,21
Tue,19:27:45,rwanda,algeria,*,*,*,22
Tue,19:27:45,rwanda,algeria,*,*,*,23
Tue,19:27:45,rwanda,algeria,*,*,*,24
Tue,19:27:45,rwanda,algeria,*,*,*,25
Tue,19:27:45,rwanda,algeria,*,*,*,26
Tue,19:27:45,rwanda,algeria,*,*,*,27
Tue,19:27:45,rwanda,algeria,*,*,*,28
Tue,19:27:45,rwanda,algeria,*,*,*,29
Tue,19:27:45,rwanda,algeria,*,*,*,30
Tue,19:38:06,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:38:06,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,19:38:06,rwanda,algeria,197.243.126.165,197.243.126.165,4,3
Tue,19:38:06,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
Tue,19:38:06,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Tue,19:38:06,rwanda,algeria,197.243.126.29,197.243.126.29,5,6
Tue,19:38:06,rwanda,algeria,41.223.224.210,41.223.224.210,5,7
Tue,19:38:06,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Tue,19:38:06,rwanda,algeria,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,163,9
Tue,19:38:06,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Tue,19:38:06,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Tue,19:38:06,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Tue,19:38:06,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,241,13
Tue,19:38:06,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,241,14
Tue,19:38:06,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,241,15
Tue,19:38:06,rwanda,algeria,195.219.83.30,195.219.83.30,241,16
Tue,19:38:06,rwanda,algeria,172.16.44.138,172.16.44.138,241,17
Tue,19:38:06,rwanda,algeria,172.31.2.83,172.31.2.83,235,18
Tue,19:38:06,rwanda,algeria,10.10.13.99,10.10.13.99,235,19
Tue,19:38:06,rwanda,algeria,*,*,*,20
Tue,19:38:06,rwanda,algeria,*,*,*,21
Tue,19:38:06,rwanda,algeria,*,*,*,22
Tue,19:38:06,rwanda,algeria,*,*,*,23
Tue,19:38:06,rwanda,algeria,*,*,*,24
Tue,19:38:06,rwanda,algeria,*,*,*,25
Tue,19:38:06,rwanda,algeria,*,*,*,26
Tue,19:38:06,rwanda,algeria,*,*,*,27
Tue,19:38:06,rwanda,algeria,*,*,*,28
Tue,19:38:06,rwanda,algeria,*,*,*,29
Tue,19:38:06,rwanda,algeria,*,*,*,30
Tue,19:48:52,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,19:48:52,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,19:48:52,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Tue,19:48:52,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
Tue,19:48:52,rwanda,algeria,192.168.1.230,192.168.1.230,6,5
Tue,19:48:52,rwanda,algeria,197.243.126.29,197.243.126.29,5,6
Tue,19:48:52,rwanda,algeria,41.223.224.210,41.223.224.210,3,7
Tue,19:48:52,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,161,8
Tue,19:48:52,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,162,9
Tue,19:48:52,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Tue,19:48:52,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Tue,19:48:52,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,236,12
Tue,19:48:52,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,177,13
Tue,19:48:52,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,177,14
Tue,19:48:52,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,177,15
Tue,19:48:52,rwanda,algeria,195.219.83.30,195.219.83.30,177,16
Tue,19:48:52,rwanda,algeria,172.16.44.138,172.16.44.138,212,17
Tue,19:48:52,rwanda,algeria,172.31.2.83,172.31.2.83,214,18
Tue,19:48:52,rwanda,algeria,10.10.13.99,10.10.13.99,212,19
Tue,19:48:52,rwanda,algeria,*,*,*,20
Tue,19:48:52,rwanda,algeria,*,*,*,21
Tue,19:48:52,rwanda,algeria,*,*,*,22
Tue,19:48:52,rwanda,algeria,*,*,*,23
Tue,19:48:52,rwanda,algeria,*,*,*,24
Tue,19:48:52,rwanda,algeria,*,*,*,25
Tue,19:48:52,rwanda,algeria,*,*,*,26
Tue,19:48:52,rwanda,algeria,*,*,*,27
Tue,19:48:52,rwanda,algeria,*,*,*,28
Tue,19:48:52,rwanda,algeria,*,*,*,29
Tue,19:48:52,rwanda,algeria,*,*,*,30
Tue,19:59:26,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Tue,19:59:26,rwanda,algeria,41.74.174.49,41.74.174.49,7,2
Tue,19:59:26,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Tue,19:59:26,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Tue,19:59:26,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Tue,19:59:26,rwanda,algeria,197.243.126.29,197.243.126.29,8,6
Tue,19:59:26,rwanda,algeria,41.223.224.210,41.223.224.210,9,7
Tue,19:59:26,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,184,8
Tue,19:59:26,rwanda,algeria,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,184,9
Tue,19:59:26,rwanda,algeria,197.155.94.167.liquidtelecom.net,197.155.94.167,26,10
Tue,19:59:26,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,184,11
Tue,19:59:26,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,178,12
Tue,19:59:26,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,162,13
Tue,19:59:26,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,168,14
Tue,19:59:26,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,169,15
Tue,19:59:26,rwanda,algeria,195.219.83.30,195.219.83.30,371,16
Tue,19:59:26,rwanda,algeria,172.16.44.138,172.16.44.138,215,17
Tue,19:59:26,rwanda,algeria,172.31.2.83,172.31.2.83,212,18
Tue,19:59:26,rwanda,algeria,10.10.13.99,10.10.13.99,212,19
Tue,19:59:26,rwanda,algeria,*,*,*,20
Tue,19:59:26,rwanda,algeria,*,*,*,21
Tue,19:59:26,rwanda,algeria,*,*,*,22
Tue,19:59:26,rwanda,algeria,*,*,*,23
Tue,19:59:26,rwanda,algeria,*,*,*,24
Tue,19:59:26,rwanda,algeria,*,*,*,25
Tue,19:59:26,rwanda,algeria,*,*,*,26
Tue,19:59:26,rwanda,algeria,*,*,*,27
Tue,19:59:26,rwanda,algeria,*,*,*,28
Tue,19:59:26,rwanda,algeria,*,*,*,29
Tue,19:59:26,rwanda,algeria,*,*,*,30
Tue,20:10:19,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:10:19,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,20:10:19,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Tue,20:10:19,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
Tue,20:10:19,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Tue,20:10:19,rwanda,algeria,197.243.126.29,197.243.126.29,5,6
Tue,20:10:19,rwanda,algeria,41.223.224.210,41.223.224.210,3,7
Tue,20:10:19,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,166,8
Tue,20:10:19,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,166,9
Tue,20:10:19,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,28,10
Tue,20:10:19,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,166,11
Tue,20:10:19,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Tue,20:10:19,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,161,13
Tue,20:10:19,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,168,14
Tue,20:10:19,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,174,15
Tue,20:10:19,rwanda,algeria,195.219.83.30,195.219.83.30,169,16
Tue,20:10:19,rwanda,algeria,172.16.44.138,172.16.44.138,212,17
Tue,20:10:19,rwanda,algeria,172.31.2.83,172.31.2.83,213,18
Tue,20:10:19,rwanda,algeria,10.10.13.99,10.10.13.99,213,19
Tue,20:10:19,rwanda,algeria,*,*,*,20
Tue,20:10:19,rwanda,algeria,*,*,*,21
Tue,20:10:19,rwanda,algeria,*,*,*,22
Tue,20:10:19,rwanda,algeria,*,*,*,23
Tue,20:10:19,rwanda,algeria,*,*,*,24
Tue,20:10:19,rwanda,algeria,*,*,*,25
Tue,20:10:19,rwanda,algeria,*,*,*,26
Tue,20:10:19,rwanda,algeria,*,*,*,27
Tue,20:10:19,rwanda,algeria,*,*,*,28
Tue,20:10:19,rwanda,algeria,*,*,*,29
Tue,20:10:19,rwanda,algeria,*,*,*,30
Tue,20:20:45,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:20:45,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,20:20:45,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Tue,20:20:45,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
Tue,20:20:45,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Tue,20:20:45,rwanda,algeria,197.243.126.29,197.243.126.29,5,6
Tue,20:20:45,rwanda,algeria,41.223.224.210,41.223.224.210,4,7
Tue,20:20:45,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Tue,20:20:45,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Tue,20:20:45,rwanda,algeria,197.155.94.167.liquidtelecom.net,197.155.94.167,26,10
Tue,20:20:45,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Tue,20:20:45,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Tue,20:20:45,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,162,13
Tue,20:20:45,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,168,14
Tue,20:20:45,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,169,15
Tue,20:20:45,rwanda,algeria,195.219.83.30,195.219.83.30,169,16
Tue,20:20:45,rwanda,algeria,172.16.44.138,172.16.44.138,214,17
Tue,20:20:45,rwanda,algeria,172.31.2.83,172.31.2.83,213,18
Tue,20:20:45,rwanda,algeria,10.10.13.99,10.10.13.99,214,19
Tue,20:20:45,rwanda,algeria,*,*,*,20
Tue,20:20:45,rwanda,algeria,*,*,*,21
Tue,20:20:45,rwanda,algeria,*,*,*,22
Tue,20:20:45,rwanda,algeria,*,*,*,23
Tue,20:20:45,rwanda,algeria,*,*,*,24
Tue,20:20:45,rwanda,algeria,*,*,*,25
Tue,20:20:45,rwanda,algeria,*,*,*,26
Tue,20:20:45,rwanda,algeria,*,*,*,27
Tue,20:20:45,rwanda,algeria,*,*,*,28
Tue,20:20:45,rwanda,algeria,*,*,*,29
Tue,20:20:45,rwanda,algeria,*,*,*,30
Tue,20:30:18,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Tue,20:30:18,rwanda,algeria,41.74.174.49,41.74.174.49,4,2
Tue,20:30:18,rwanda,algeria,197.243.126.165,197.243.126.165,5,3
Tue,20:30:18,rwanda,algeria,192.168.1.253,192.168.1.253,5,4
Tue,20:30:18,rwanda,algeria,192.168.1.230,192.168.1.230,5,5
Tue,20:30:18,rwanda,algeria,197.243.126.29,197.243.126.29,6,6
Tue,20:30:18,rwanda,algeria,41.223.224.210,41.223.224.210,5,7
Tue,20:30:18,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Tue,20:30:18,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,164,9
Tue,20:30:18,rwanda,algeria,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Tue,20:30:18,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Tue,20:30:18,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Tue,20:30:18,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,208,13
Tue,20:30:18,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,171,14
