Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:07:24,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:07:24,rwanda,ghana,41.74.174.49,41.74.174.49,5,2
Fri,00:07:24,rwanda,ghana,197.243.126.165,197.243.126.165,6,3
Fri,00:07:24,rwanda,ghana,192.168.1.253,192.168.1.253,6,4
Fri,00:07:24,rwanda,ghana,192.168.1.230,192.168.1.230,5,5
Fri,00:07:24,rwanda,ghana,197.243.126.29,197.243.126.29,6,6
Fri,00:07:24,rwanda,ghana,41.223.224.210,41.223.224.210,7,7
Fri,00:07:24,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Fri,00:07:24,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,194,9
Fri,00:07:24,rwanda,ghana,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Fri,00:07:24,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,195,11
Fri,00:07:24,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,217,12
Fri,00:07:24,rwanda,ghana,teng0-0-0-17.lza-pe1-cpt.liquidtelecom.net,5.11.10.171,192,13
Fri,00:07:24,rwanda,ghana,vodacom.ixp.capetown,196.10.140.12,196,14
Fri,00:07:24,rwanda,ghana,10.118.46.106,10.118.46.106,483,15
Fri,00:07:24,rwanda,ghana,41.21.232.70,41.21.232.70,483,16
Fri,00:07:24,rwanda,ghana,41-204-60-149-dedicated.4u.com.gh,41.204.60.149,483,17
Fri,00:07:24,rwanda,ghana,41-204-60-150-dedicated.4u.com.gh,41.204.60.150,402,18
Fri,00:07:24,rwanda,ghana,197.255.127.2,197.255.127.2,404,19
Fri,00:07:24,rwanda,ghana,197.255.127.35,197.255.127.35,409,20
Fri,00:07:24,rwanda,ghana,197.255.125.213,197.255.125.213,499,21
Fri,00:17:51,rwanda,ghana,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Fri,00:17:51,rwanda,ghana,41.74.174.49,41.74.174.49,6,2
Fri,00:17:51,rwanda,ghana,197.243.126.165,197.243.126.165,7,3
Fri,00:17:51,rwanda,ghana,192.168.1.253,192.168.1.253,7,4
Fri,00:17:51,rwanda,ghana,192.168.1.230,192.168.1.230,7,5
Fri,00:17:51,rwanda,ghana,197.243.126.29,197.243.126.29,7,6
Fri,00:17:51,rwanda,ghana,41.223.224.210,41.223.224.210,5,7
Fri,00:17:51,rwanda,ghana,197.155.94.164.liquidtelecom.net,197.155.94.164,194,8
Fri,00:17:51,rwanda,ghana,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,197,9
Fri,00:17:51,rwanda,ghana,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,26,10
Fri,00:17:51,rwanda,ghana,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,196,11
Fri,00:17:51,rwanda,ghana,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,197,12
