Day, Time, Sender Region, Receiver Region, Provider, Processor, Low ABW, High ABW
Tue,23:01:19,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1158
Tue,23:06:42,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,23:12:05,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Tue,23:17:28,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,1158
Tue,23:28:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,965
Tue,23:33:26,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,1053
Tue,23:38:49,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Tue,23:44:09,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Tue,23:49:32,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Tue,23:54:52,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Wed,15:28:28,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Wed,15:59:29,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Wed,16:04:52,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Wed,16:10:15,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,16:15:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1654
Wed,16:20:50,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1448
Wed,16:26:10,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Wed,16:31:30,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1287
Wed,16:41:57,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Wed,16:52:38,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1158
Wed,16:58:12,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Wed,17:14:01,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Wed,17:19:24,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,965
Wed,17:24:44,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Wed,17:29:59,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1448
Wed,17:40:35,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Wed,17:45:55,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,891,1053
Wed,17:51:18,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1158
Wed,18:01:53,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1158,1158
Wed,18:07:20,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,1287
Wed,18:12:43,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Wed,18:18:06,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1053
Wed,18:28:40,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1448
Wed,18:33:54,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1158
Wed,18:39:17,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1287,1654
Wed,18:44:37,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,643,1158
Wed,18:50:00,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1287
Wed,18:55:24,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,724,1158
Wed,19:00:46,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1448
Wed,19:06:07,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Wed,19:16:47,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1158
Wed,19:35:17,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
Wed,19:45:59,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,965,1287
Wed,19:56:33,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1287
Wed,20:08:17,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1053,1158
Wed,20:13:49,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,1448,1654
Wed,20:19:06,US-West-1,Asia-Northeast-1,Google-Cloud-Platform,Intel-Broadwell,827,1158
