Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,00:14:19,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,00:14:19,rwanda,congo_DR,41.74.174.49,41.74.174.49,5,2
Thu,00:14:19,rwanda,congo_DR,197.243.126.165,197.243.126.165,6,3
Thu,00:14:19,rwanda,congo_DR,192.168.1.253,192.168.1.253,6,4
Thu,00:14:19,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,00:14:19,rwanda,congo_DR,197.243.126.29,197.243.126.29,40,6
Thu,00:14:19,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,00:14:19,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,190,8
Thu,00:14:19,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,190,9
Thu,00:14:19,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,00:14:19,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,190,11
Thu,00:14:19,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,212,12
Thu,00:14:19,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,212,13
Thu,00:14:19,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,212,14
Thu,00:14:19,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,212,15
Thu,00:14:19,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,230,16
Thu,00:14:19,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,305,17
Thu,00:14:19,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,393,18
Thu,00:14:19,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,393,19
Thu,00:14:19,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,393,20
Thu,00:14:19,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,469,21
Thu,00:14:19,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,448,22
Thu,00:14:19,rwanda,congo_DR,162-144-240-169.unifiedlayer.com,162.144.240.169,390,23
Thu,00:14:19,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,390,24
Thu,00:14:19,rwanda,congo_DR,just57.justhost.com,173.254.28.57,389,25
Thu,00:31:14,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,00:31:14,rwanda,congo_DR,41.74.174.49,41.74.174.49,6,2
Thu,00:31:14,rwanda,congo_DR,197.243.126.165,197.243.126.165,7,3
Thu,00:31:14,rwanda,congo_DR,192.168.1.253,192.168.1.253,7,4
Thu,00:31:14,rwanda,congo_DR,192.168.1.230,192.168.1.230,7,5
Thu,00:31:14,rwanda,congo_DR,197.243.126.29,197.243.126.29,7,6
Thu,00:31:14,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,00:31:14,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Thu,00:31:14,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Thu,00:31:14,rwanda,congo_DR,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,24,10
Thu,00:31:14,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,00:31:14,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,162,12
Thu,00:31:14,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,271,13
Thu,00:31:14,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,224,14
Thu,00:31:14,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,224,15
Thu,00:31:14,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,230,16
Thu,00:31:14,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,298,17
Thu,00:31:14,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,359,18
Thu,00:31:14,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,389,19
Thu,00:31:14,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,435,20
Thu,00:31:14,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,389,21
Thu,00:31:14,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,385,22
Thu,00:31:14,rwanda,congo_DR,162-144-240-151.unifiedlayer.com,162.144.240.151,331,23
Thu,00:31:14,rwanda,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,404,24
Thu,00:31:14,rwanda,congo_DR,*,*,*,25
Thu,00:46:19,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Thu,00:46:19,rwanda,congo_DR,41.74.174.49,41.74.174.49,5,2
Thu,00:46:19,rwanda,congo_DR,197.243.126.165,197.243.126.165,6,3
Thu,00:46:19,rwanda,congo_DR,192.168.1.253,192.168.1.253,6,4
Thu,00:46:19,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,00:46:19,rwanda,congo_DR,197.243.126.29,197.243.126.29,7,6
Thu,00:46:19,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,00:46:19,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Thu,00:46:19,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Thu,00:46:19,rwanda,congo_DR,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Thu,00:46:19,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,161,11
Thu,00:46:19,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,258,12
Thu,00:46:19,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,258,13
Thu,00:46:19,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,229,14
Thu,00:46:19,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,228,15
Thu,00:46:19,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,235,16
Thu,00:46:19,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,305,17
Thu,00:46:19,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,385,18
Thu,00:46:19,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,385,19
Thu,00:46:19,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,385,20
Thu,00:46:19,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,385,21
Thu,00:46:19,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,385,22
Thu,00:46:19,rwanda,congo_DR,162-144-240-151.unifiedlayer.com,162.144.240.151,389,23
Thu,00:46:19,rwanda,congo_DR,162-144-240-15.unifiedlayer.com,162.144.240.15,403,24
Thu,00:46:19,rwanda,congo_DR,just57.justhost.com,173.254.28.57,389,25
Thu,01:02:01,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,01:02:01,rwanda,congo_DR,41.74.174.49,41.74.174.49,6,2
Thu,01:02:01,rwanda,congo_DR,197.243.126.165,197.243.126.165,7,3
Thu,01:02:01,rwanda,congo_DR,192.168.1.253,192.168.1.253,7,4
Thu,01:02:01,rwanda,congo_DR,192.168.1.230,192.168.1.230,7,5
Thu,01:02:01,rwanda,congo_DR,197.243.126.29,197.243.126.29,7,6
Thu,01:02:01,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,01:02:01,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Thu,01:02:01,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Thu,01:02:01,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,01:02:01,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,01:02:01,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,01:02:01,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,174,13
Thu,01:02:01,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,174,14
Thu,01:02:01,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,174,15
Thu,01:02:01,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,229,16
Thu,01:02:01,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,295,17
Thu,01:02:01,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,396,18
Thu,01:02:01,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,396,19
Thu,01:02:01,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,426,20
Thu,01:02:01,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,396,21
Thu,01:02:01,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,388,22
Thu,01:02:01,rwanda,congo_DR,162-144-240-153.unifiedlayer.com,162.144.240.153,401,23
Thu,01:02:01,rwanda,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,401,24
Thu,01:02:01,rwanda,congo_DR,just57.justhost.com,173.254.28.57,401,25
Thu,01:17:38,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,01:17:38,rwanda,congo_DR,41.74.174.49,41.74.174.49,6,2
Thu,01:17:38,rwanda,congo_DR,197.243.126.165,197.243.126.165,6,3
Thu,01:17:38,rwanda,congo_DR,192.168.1.253,192.168.1.253,6,4
Thu,01:17:38,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,01:17:38,rwanda,congo_DR,197.243.126.29,197.243.126.29,8,6
Thu,01:17:38,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,01:17:38,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
Thu,01:17:38,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,163,9
Thu,01:17:38,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,01:17:38,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,164,11
Thu,01:17:38,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,01:17:38,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,205,13
Thu,01:17:38,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,205,14
Thu,01:17:38,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,205,15
Thu,01:17:38,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,234,16
Thu,01:17:38,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,306,17
Thu,01:17:38,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,394,18
Thu,01:17:38,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,394,19
Thu,01:17:38,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,394,20
Thu,01:17:38,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,394,21
Thu,01:17:38,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,445,22
Thu,01:17:38,rwanda,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,397,23
Thu,01:17:38,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,397,24
Thu,01:17:38,rwanda,congo_DR,just57.justhost.com,173.254.28.57,397,25
Thu,01:33:41,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:33:41,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,01:33:41,rwanda,congo_DR,197.243.126.165,197.243.126.165,6,3
Thu,01:33:41,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,01:33:41,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,01:33:41,rwanda,congo_DR,197.243.126.29,197.243.126.29,6,6
Thu,01:33:41,rwanda,congo_DR,41.223.224.210,41.223.224.210,6,7
Thu,01:33:41,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,190,8
Thu,01:33:41,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,190,9
Thu,01:33:41,rwanda,congo_DR,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Thu,01:33:41,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,190,11
Thu,01:33:41,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,01:33:41,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,163,13
Thu,01:33:41,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,162,14
Thu,01:33:41,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,163,15
Thu,01:33:41,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,235,16
Thu,01:33:41,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,293,17
Thu,01:33:41,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,350,18
Thu,01:33:41,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,316,19
Thu,01:33:41,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,368,20
Thu,01:33:41,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,372,21
Thu,01:33:41,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,399,22
Thu,01:33:41,rwanda,congo_DR,162-144-240-159.unifiedlayer.com,162.144.240.159,445,23
Thu,01:33:41,rwanda,congo_DR,162-144-240-23.unifiedlayer.com,162.144.240.23,322,24
Thu,01:33:41,rwanda,congo_DR,just57.justhost.com,173.254.28.57,383,25
Thu,01:50:02,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,01:50:02,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,01:50:02,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,01:50:02,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,01:50:02,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,01:50:02,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,01:50:02,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,01:50:02,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,201,8
Thu,01:50:02,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,201,9
Thu,01:50:02,rwanda,congo_DR,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Thu,01:50:02,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,201,11
Thu,01:50:02,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,175,12
Thu,01:50:02,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,197,13
Thu,01:50:02,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,197,14
Thu,01:50:02,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,197,15
Thu,01:50:02,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,237,16
Thu,01:50:02,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,302,17
Thu,01:50:02,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,307,18
Thu,01:50:02,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,378,19
Thu,01:50:02,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,365,20
Thu,01:50:02,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,427,21
Thu,01:50:02,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,450,22
Thu,01:50:02,rwanda,congo_DR,162-144-240-161.unifiedlayer.com,162.144.240.161,385,23
Thu,01:50:02,rwanda,congo_DR,162-144-240-19.unifiedlayer.com,162.144.240.19,319,24
Thu,01:50:02,rwanda,congo_DR,just57.justhost.com,173.254.28.57,326,25
Thu,02:05:48,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,02:05:48,rwanda,congo_DR,41.74.174.49,41.74.174.49,5,2
Thu,02:05:48,rwanda,congo_DR,197.243.126.165,197.243.126.165,6,3
Thu,02:05:48,rwanda,congo_DR,192.168.1.253,192.168.1.253,6,4
Thu,02:05:48,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,02:05:48,rwanda,congo_DR,197.243.126.29,197.243.126.29,6,6
Thu,02:05:48,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,02:05:48,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,175,8
Thu,02:05:48,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,175,9
Thu,02:05:48,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,26,10
Thu,02:05:48,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,175,11
Thu,02:05:48,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,170,12
Thu,02:05:48,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,208,13
Thu,02:05:48,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,208,14
Thu,02:05:48,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,208,15
Thu,02:05:48,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,234,16
Thu,02:05:48,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,352,17
Thu,02:05:48,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,308,18
Thu,02:05:48,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,379,19
Thu,02:05:48,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,433,20
Thu,02:05:48,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,379,21
Thu,02:05:48,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,390,22
Thu,02:05:48,rwanda,congo_DR,162-144-240-143.unifiedlayer.com,162.144.240.143,345,23
Thu,02:05:48,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,346,24
Thu,02:05:48,rwanda,congo_DR,just57.justhost.com,173.254.28.57,382,25
Thu,02:23:11,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,02:23:11,rwanda,congo_DR,41.74.174.49,41.74.174.49,5,2
Thu,02:23:11,rwanda,congo_DR,197.243.126.165,197.243.126.165,7,3
Thu,02:23:11,rwanda,congo_DR,192.168.1.253,192.168.1.253,7,4
Thu,02:23:11,rwanda,congo_DR,192.168.1.230,192.168.1.230,7,5
Thu,02:23:11,rwanda,congo_DR,197.243.126.29,197.243.126.29,7,6
Thu,02:23:11,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,02:23:11,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Thu,02:23:11,rwanda,congo_DR,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,163,9
Thu,02:23:11,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,02:23:11,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,02:23:11,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,02:23:11,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,167,13
Thu,02:23:11,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,167,14
Thu,02:23:11,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,167,15
Thu,02:23:11,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,230,16
Thu,02:23:11,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,305,17
Thu,02:23:11,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,387,18
Thu,02:23:11,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,387,19
Thu,02:23:11,rwanda,congo_DR,ae-45.r01.snjsca04.us.bb.gin.ntt.net,129.250.3.175,387,20
Thu,02:23:11,rwanda,congo_DR,ae-0.a01.snjsca04.us.bb.gin.ntt.net,129.250.3.163,387,21
Thu,02:23:11,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,385,22
Thu,02:23:11,rwanda,congo_DR,162-144-240-151.unifiedlayer.com,162.144.240.151,387,23
Thu,02:23:11,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,347,24
Thu,02:23:11,rwanda,congo_DR,just57.justhost.com,173.254.28.57,322,25
Thu,02:38:33,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,02:38:33,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,02:38:33,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,02:38:33,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,02:38:33,rwanda,congo_DR,192.168.1.230,192.168.1.230,6,5
Thu,02:38:33,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,02:38:33,rwanda,congo_DR,41.223.224.210,41.223.224.210,5,7
Thu,02:38:33,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,163,8
Thu,02:38:33,rwanda,congo_DR,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,163,9
Thu,02:38:33,rwanda,congo_DR,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,02:38:33,rwanda,congo_DR,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,163,11
Thu,02:38:33,rwanda,congo_DR,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,02:38:33,rwanda,congo_DR,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,165,13
Thu,02:38:33,rwanda,congo_DR,xe-0-2-0-1.r00.londen10.uk.bb.gin.ntt.net,83.231.146.209,165,14
Thu,02:38:33,rwanda,congo_DR,ae-13.r24.londen12.uk.bb.gin.ntt.net,129.250.4.25,165,15
Thu,02:38:33,rwanda,congo_DR,ae-5.r24.nycmny01.us.bb.gin.ntt.net,129.250.2.18,233,16
Thu,02:38:33,rwanda,congo_DR,ae-2.r20.sttlwa01.us.bb.gin.ntt.net,129.250.4.13,354,17
Thu,02:38:33,rwanda,congo_DR,ae-0.r21.sttlwa01.us.bb.gin.ntt.net,129.250.2.54,309,18
Thu,02:38:33,rwanda,congo_DR,ae-3.r23.snjsca04.us.bb.gin.ntt.net,129.250.3.124,318,19
Thu,02:38:33,rwanda,congo_DR,ae-41.r02.snjsca04.us.bb.gin.ntt.net,129.250.6.119,318,20
Thu,02:38:33,rwanda,congo_DR,ae-1.a01.snjsca04.us.bb.gin.ntt.net,129.250.2.48,372,21
Thu,02:38:33,rwanda,congo_DR,ae-0.endurance.snjsca04.us.bb.gin.ntt.net,129.250.195.138,446,22
Thu,02:38:33,rwanda,congo_DR,162-144-240-167.unifiedlayer.com,162.144.240.167,334,23
Thu,02:38:33,rwanda,congo_DR,162-144-240-11.unifiedlayer.com,162.144.240.11,341,24
Thu,02:38:33,rwanda,congo_DR,just57.justhost.com,173.254.28.57,332,25
Thu,02:54:40,rwanda,congo_DR,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,02:54:40,rwanda,congo_DR,41.74.174.49,41.74.174.49,4,2
Thu,02:54:40,rwanda,congo_DR,197.243.126.165,197.243.126.165,5,3
Thu,02:54:40,rwanda,congo_DR,192.168.1.253,192.168.1.253,5,4
Thu,02:54:40,rwanda,congo_DR,192.168.1.230,192.168.1.230,5,5
Thu,02:54:40,rwanda,congo_DR,197.243.126.29,197.243.126.29,5,6
Thu,02:54:40,rwanda,congo_DR,41.223.224.210,41.223.224.210,4,7
Thu,02:54:40,rwanda,congo_DR,197.155.94.164.liquidtelecom.net,197.155.94.164,162,8
