Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Thu,01:00:29,rwanda,algeria,*,*,*,24
Thu,01:00:29,rwanda,algeria,*,*,*,25
Thu,01:00:29,rwanda,algeria,*,*,*,26
Thu,01:00:29,rwanda,algeria,*,*,*,27
Thu,01:00:29,rwanda,algeria,*,*,*,28
Thu,01:00:29,rwanda,algeria,*,*,*,29
Thu,01:00:29,rwanda,algeria,*,*,*,30
Thu,01:16:01,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,01:16:01,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Thu,01:16:01,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Thu,01:16:01,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Thu,01:16:01,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Thu,01:16:01,rwanda,algeria,197.243.126.29,197.243.126.29,7,6
Thu,01:16:01,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Thu,01:16:01,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,164,8
Thu,01:16:01,rwanda,algeria,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,165,9
Thu,01:16:01,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,27,10
Thu,01:16:01,rwanda,algeria,teng0-0-1-0-0-lfr-pe1-mrs.liquidtelecom.net,5.11.10.122,166,11
Thu,01:16:01,rwanda,algeria,teng0-3-0-4.luk-p1-tho.liquidtelecom.net,5.11.10.121,161,12
Thu,01:16:01,rwanda,algeria,bundle-ether3-luk-pe1-tho.liquidtelecom.net,5.11.10.103,231,13
Thu,01:16:01,rwanda,algeria,ix-xe-0-3-3-100.tcore2.ldn-london.as6453.net,80.231.20.61,231,14
Thu,01:16:01,rwanda,algeria,if-ae-26-2.tcore1.ldn-london.as6453.net,80.231.62.58,231,15
Thu,01:16:01,rwanda,algeria,195.219.83.30,195.219.83.30,231,16
Thu,01:16:01,rwanda,algeria,172.16.44.138,172.16.44.138,231,17
Thu,01:16:01,rwanda,algeria,172.31.2.83,172.31.2.83,305,18
Thu,01:16:01,rwanda,algeria,10.10.13.99,10.10.13.99,305,19
Thu,01:16:01,rwanda,algeria,*,*,*,20
Thu,01:16:01,rwanda,algeria,*,*,*,21
Thu,01:16:01,rwanda,algeria,*,*,*,22
Thu,01:16:01,rwanda,algeria,*,*,*,23
Thu,01:16:01,rwanda,algeria,*,*,*,24
Thu,01:16:01,rwanda,algeria,*,*,*,25
Thu,01:16:01,rwanda,algeria,*,*,*,26
Thu,01:16:01,rwanda,algeria,*,*,*,27
Thu,01:16:01,rwanda,algeria,*,*,*,28
Thu,01:16:01,rwanda,algeria,*,*,*,29
Thu,01:16:01,rwanda,algeria,*,*,*,30
Thu,01:32:09,rwanda,algeria,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,3,1
Thu,01:32:09,rwanda,algeria,41.74.174.49,41.74.174.49,6,2
Thu,01:32:09,rwanda,algeria,197.243.126.165,197.243.126.165,7,3
Thu,01:32:09,rwanda,algeria,192.168.1.253,192.168.1.253,7,4
Thu,01:32:09,rwanda,algeria,192.168.1.230,192.168.1.230,7,5
Thu,01:32:09,rwanda,algeria,197.243.126.29,197.243.126.29,7,6
Thu,01:32:09,rwanda,algeria,41.223.224.210,41.223.224.210,6,7
Thu,01:32:09,rwanda,algeria,197.155.94.164.liquidtelecom.net,197.155.94.164,164,8
Thu,01:32:09,rwanda,algeria,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,164,9
Thu,01:32:09,rwanda,algeria,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,27,10
